Using jemalloc as memory allocator
compile TESTCASE_WISCKEY_PERF
run ... TESTCASE_WISCKEY_PERF
--- WiscKey Performance (N=10000, ValSize=1024) ---
CMP: A(off=1 key=1) B(off=0 key=0) RES=1
CMP: A(off=2 key=2) B(off=0 key=0) RES=1
CMP: A(off=2 key=2) B(off=1 key=1) RES=1
CMP: A(off=3 key=3) B(off=1 key=1) RES=1
CMP: A(off=3 key=3) B(off=2 key=2) RES=1
CMP: A(off=4 key=4) B(off=1 key=1) RES=1
CMP: A(off=4 key=4) B(off=2 key=2) RES=1
CMP: A(off=4 key=4) B(off=3 key=3) RES=1
CMP: A(off=5 key=5) B(off=2 key=2) RES=1
CMP: A(off=5 key=5) B(off=3 key=3) RES=1
CMP: A(off=5 key=5) B(off=4 key=4) RES=1
CMP: A(off=6 key=6) B(off=2 key=2) RES=1
CMP: A(off=6 key=6) B(off=4 key=4) RES=1
CMP: A(off=6 key=6) B(off=5 key=5) RES=1
CMP: A(off=7 key=7) B(off=3 key=3) RES=1
CMP: A(off=7 key=7) B(off=5 key=5) RES=1
CMP: A(off=7 key=7) B(off=6 key=6) RES=1
CMP: A(off=8 key=8) B(off=3 key=3) RES=1
CMP: A(off=8 key=8) B(off=5 key=5) RES=1
CMP: A(off=8 key=8) B(off=6 key=6) RES=1
CMP: A(off=8 key=8) B(off=7 key=7) RES=1
CMP: A(off=9 key=9) B(off=4 key=4) RES=1
CMP: A(off=9 key=9) B(off=6 key=6) RES=1
CMP: A(off=9 key=9) B(off=7 key=7) RES=1
CMP: A(off=9 key=9) B(off=8 key=8) RES=1
CMP: A(off=10 key=10) B(off=4 key=4) RES=1
CMP: A(off=10 key=10) B(off=7 key=7) RES=1
CMP: A(off=10 key=10) B(off=8 key=8) RES=1
CMP: A(off=10 key=10) B(off=9 key=9) RES=1
CMP: A(off=11 key=11) B(off=5 key=5) RES=1
CMP: A(off=11 key=11) B(off=8 key=8) RES=1
CMP: A(off=11 key=11) B(off=9 key=9) RES=1
CMP: A(off=11 key=11) B(off=10 key=10) RES=1
CMP: A(off=12 key=12) B(off=5 key=5) RES=1
CMP: A(off=12 key=12) B(off=8 key=8) RES=1
CMP: A(off=12 key=12) B(off=10 key=10) RES=1
CMP: A(off=12 key=12) B(off=11 key=11) RES=1
CMP: A(off=13 key=13) B(off=6 key=6) RES=1
CMP: A(off=13 key=13) B(off=9 key=9) RES=1
CMP: A(off=13 key=13) B(off=11 key=11) RES=1
